Tiempo, Transacciones_Completadas, Instr_Broadcast, Instr_Send, Latencia, Total_avg_Delay, Clk_Cycles, Time_elapsed, Monitor_Terminal, Delay_Terminal
690,          1,          1,          0,        360,        360,         35,        700,          0,       360
710,          2,          2,          0,        360,        360,         36,        720,          1,       360
730,          3,          3,          0,        360,        240,         37,        740,          2,       360
750,          4,          4,          0,        360,        150,         38,        760,          3,       360
770,          5,          5,          0,        360,        102,         39,        780,          4,       360
790,          6,          6,          0,        360,         77,         40,        800,          5,       360
810,          7,          7,          0,        360,         62,         41,        820,          6,       360
1090,          8,          8,          0,        760,        102,         55,       1100,          1,       760
1110,          9,          9,          0,        760,         95,         56,       1120,          2,       760
1130,         10,         10,          0,        760,         85,         57,       1140,          3,       760
1150,         11,         11,          0,        760,         76,         58,       1160,          4,       760
1170,         12,         12,          0,        760,         69,         59,       1180,          5,       760
1190,         13,         13,          0,        760,         63,         60,       1200,          6,       760
1210,         14,         14,          0,        760,         58,         61,       1220,          7,       760
1550,         15,         14,          1,        280,         22,         78,       1560,          7,       280
1950,         16,         14,          2,        340,         22,         98,       1960,          3,       340
2350,         17,         14,          3,        340,         21,        118,       2360,          4,       340
2750,         18,         14,          4,        340,         20,        138,       2760,          2,       340
3150,         19,         14,          5,        340,         18,        158,       3160,          2,       340
3550,         20,         14,          6,        340,         17,        178,       3560,          1,       340
3950,         21,         14,          7,        340,         17,        198,       3960,          7,       340
4350,         22,         14,          8,        340,         16,        218,       4360,          7,       340
4750,         23,         14,          9,        340,         15,        238,       4760,          4,       340
5150,         24,         14,         10,        340,         14,        258,       5160,          5,       340
5550,         25,         14,         11,        340,         14,        278,       5560,          2,       340
5950,         26,         14,         12,        340,         13,        298,       5960,          1,       340
6750,         27,         14,         13,        340,         13,        338,       6760,          2,       340
7150,         28,         14,         14,        340,         12,        358,       7160,          7,       340
7550,         29,         14,         15,        340,         12,        378,       7560,          5,       340
8350,         30,         14,         16,        340,         11,        418,       8360,          2,       340
9150,         31,         14,         17,        340,         11,        458,       9160,          4,       340
9550,         32,         14,         18,        340,         10,        478,       9560,          6,       340
9950,         33,         14,         19,        340,         10,        498,       9960,          6,       340
10350,         34,         14,         20,        340,         10,        518,      10360,          7,       340
10750,         35,         14,         21,        340,         10,        538,      10760,          1,       340
11550,         36,         14,         22,        340,          9,        578,      11560,          7,       340
11950,         37,         14,         23,        340,          9,        598,      11960,          1,       340
12750,         38,         14,         24,        340,          9,        638,      12760,          5,       340
13150,         39,         14,         25,        340,          8,        658,      13160,          5,       340
13550,         40,         14,         26,        340,          8,        678,      13560,          7,       340
13950,         41,         14,         27,        340,          8,        698,      13960,          4,       340
14350,         42,         14,         28,        340,          8,        718,      14360,          6,       340
14750,         43,         14,         29,        340,          8,        738,      14760,          1,       340
15150,         44,         14,         30,        340,          7,        758,      15160,          1,       340
15550,         45,         14,         31,        340,          7,        778,      15560,          7,       340
15950,         46,         14,         32,        340,          7,        798,      15960,          2,       340
17150,         47,         14,         33,        340,          7,        858,      17160,          4,       340
17550,         48,         14,         34,        340,          7,        878,      17560,          5,       340
17950,         49,         14,         35,        340,          7,        898,      17960,          2,       340
18350,         50,         14,         36,        340,          6,        918,      18360,          0,       340
18750,         51,         14,         37,        340,          6,        938,      18760,          5,       340
19150,         52,         14,         38,        340,          6,        958,      19160,          1,       340
19550,         53,         14,         39,        340,          6,        978,      19560,          7,       340
19950,         54,         14,         40,        340,          6,        998,      19960,          4,       340
20350,         55,         14,         41,        340,          6,       1018,      20360,          3,       340
21150,         56,         14,         42,        340,          6,       1058,      21160,          7,       340
21550,         57,         14,         43,        340,          6,       1078,      21560,          2,       340
21950,         58,         14,         44,        340,          5,       1098,      21960,          5,       340
22350,         59,         14,         45,        340,          5,       1118,      22360,          5,       340
22750,         60,         14,         46,        340,          5,       1138,      22760,          2,       340
23150,         61,         14,         47,        340,          5,       1158,      23160,          4,       340
23550,         62,         14,         48,        340,          5,       1178,      23560,          0,       340
23950,         63,         14,         49,        340,          5,       1198,      23960,          4,       340
24350,         64,         14,         50,        340,          5,       1218,      24360,          0,       340
24750,         65,         14,         51,        340,          5,       1238,      24760,          3,       340
